0,1,2,3,4,5,6
0,Machine learning pipeline for battery state-of-health estimation,Machine learning pipeline for battery state-of-health estimation,0.0,['Machine learning pipeline for battery state-of-health estimation'],[0.0],"[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}]"
1,Machine learning pipeline for battery state-of-health estimation,Nucleus segmentation across imaging experiments: the 2018 Data Science Bowl,1.0,"['Machine learning pipeline for battery state-of-health estimation', 'Nucleus segmentation across imaging experiments: the 2018 Data Science Bowl']","[0.0, 1.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'Nucleus segmentation across imaging experiments: the 2018 Data Science Bowl', 'paperId': 'b79ca6fd3df135a9bcf778844be625b764fbcfb3', 'nodeNum': 1}]"
2,Machine learning pipeline for battery state-of-health estimation,Database resources of the National Center for Biotechnology Information,1.0,"['Machine learning pipeline for battery state-of-health estimation', 'Database resources of the National Center for Biotechnology Information']","[0.0, 1.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'Database resources of the National Center for Biotechnology Information', 'paperId': '960e7494ef4ec5964407488080f249104cd218f0', 'nodeNum': 1}]"
3,Machine learning pipeline for battery state-of-health estimation,A new paradigm for accelerating clinical data science at Stanford Medicine,1.0,"['Machine learning pipeline for battery state-of-health estimation', 'A new paradigm for accelerating clinical data science at Stanford Medicine']","[0.0, 1.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'A new paradigm for accelerating clinical data science at Stanford Medicine', 'paperId': '5b9ea2abf1c5a04b3024367409284edceb741ef2', 'nodeNum': 1}]"
4,Machine learning pipeline for battery state-of-health estimation,Statistical Foundations of Data Science,1.0,"['Machine learning pipeline for battery state-of-health estimation', 'Statistical Foundations of Data Science']","[0.0, 1.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'Statistical Foundations of Data Science', 'paperId': 'd88d39dd9c910105e7503aa43698c806d42d5198', 'nodeNum': 1}]"
5,Machine learning pipeline for battery state-of-health estimation,The Data Mining of the Human Resources Data Warehouse in University Based on Association Rule,1.0,"['Machine learning pipeline for battery state-of-health estimation', 'The Data Mining of the Human Resources Data Warehouse in University Based on Association Rule']","[0.0, 1.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'The Data Mining of the Human Resources Data Warehouse in University Based on Association Rule', 'paperId': '28a697d97e51bed8afd01f89d28c25e8e5c65360', 'nodeNum': 1}]"
6,Machine learning pipeline for battery state-of-health estimation,AnchorViz: Facilitating Classifier Error Discovery through Interactive Semantic Data Exploration,1.0,"['Machine learning pipeline for battery state-of-health estimation', 'AnchorViz: Facilitating Classifier Error Discovery through Interactive Semantic Data Exploration']","[0.0, 1.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'AnchorViz: Facilitating Classifier Error Discovery through Interactive Semantic Data Exploration', 'paperId': 'd5ab4aab4d30bc9f76151a50ca509030e5c1bcdc', 'nodeNum': 1}]"
7,Machine learning pipeline for battery state-of-health estimation,Towards an Architecture for Managing Big Semantic Data in Real-Time,1.0,"['Machine learning pipeline for battery state-of-health estimation', 'Towards an Architecture for Managing Big Semantic Data in Real-Time']","[0.0, 1.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'Towards an Architecture for Managing Big Semantic Data in Real-Time', 'paperId': 'fd9aef292d9f8e092f4627bbc4fc3377b55ab6b5', 'nodeNum': 1}]"
8,Machine learning pipeline for battery state-of-health estimation,"Improve Performance of Extract, Transform and Load (ETL) in Data Warehouse",1.0,"['Machine learning pipeline for battery state-of-health estimation', 'Improve Performance of Extract, Transform and Load (ETL) in Data Warehouse']","[0.0, 1.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'Improve Performance of Extract, Transform and Load (ETL) in Data Warehouse', 'paperId': '76b85069c84056ef5b412e0c540250a4ecaa8ef3', 'nodeNum': 1}]"
9,Machine learning pipeline for battery state-of-health estimation,Exploring exploratory search: a user study with linked semantic data,1.0,"['Machine learning pipeline for battery state-of-health estimation', 'Exploring exploratory search: a user study with linked semantic data']","[0.0, 1.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'Exploring exploratory search: a user study with linked semantic data', 'paperId': 'e65f148eb5a60ab701dd54931363afbb1cf30eae', 'nodeNum': 1}]"
