OrganizationID,affiliation_name,affiliationType
766e8dc1-5507-4fa5-81ce-64e55b706ed7,Riley LLC,company
72c3dab6-c464-4654-8e06-83c2d9e7b19f,Purdue University,university
0219c837-b970-4858-9100-22f7fa6c32a5,Ecole Polytechnique Fédérale de Lausanne,university
4f9c4405-c8bc-4109-b9e8-b0b232f4506b,Obrien Group,company
0cefe826-2095-4a27-aefd-26b3f5e4aab5,University of Wisconsin-Madison,university
d9126051-7595-4e86-bac1-5716851a4aea,"King, Rodgers and Sanford",company
45d7ff0b-daed-4b5b-a364-fe18da9a4046,University of York,university
60a9be82-88b3-48a6-8c2d-7b0ebba0f8ff,University of Surrey,university
edaef4dc-44ef-4c26-a4d6-680301b66cbc,Tsinghua University,university
bbd11f81-f6c9-4bba-8800-f9a74bc188ab,"Heath, Erickson and Lewis",company
3dd090da-398a-42b0-a793-837c8d95f1d1,"Hoffman, Miller and Washington",company
d5c66295-5054-4182-ad48-73dd224560a9,Barker PLC,company
6cac838a-6bd8-4397-a20a-b6f6578ce004,University of Hong Kong,university
db9eaad3-9dc7-4fc2-ad23-ec7d047b6ed9,University of Edinburgh,university
04abb061-1b04-41fc-839c-412d8d260140,"Luna, Martinez and Keith",company
33f4b3b5-188d-4565-890b-b2549ac77cc9,Clark-Brooks,company
bd8712e5-8546-4a6d-ab29-2f05a310f87f,University of Sussex,university
236a8538-bed9-4219-8920-7d965d12e5f9,University of New South Wales,university
9ac0e560-2418-48c4-adb5-2bcd7cb8a339,University of Groningen,university
2fe40dff-8b10-4a74-8bcf-75782a2d285d,Gross-Liu,company
9318da5e-9142-400e-89be-bb712aac99da,Erasmus University Rotterdam,university
b28ebf8d-324a-4768-b26b-b033aa62da78,Allen-Smith,company
f92732ec-5d65-4b06-95f8-2b80f0e55943,Larsen Group,company
d05df58d-c591-4910-8781-1b0bd0e7e874,Keller-Ortiz,company
6049747f-1639-4cf1-8430-99a3ea16c5d5,University of Manchester,university
384647f1-356e-4782-abdc-2c3eb96a9601,University of Leicester,university
c7462f3f-cc29-488b-b601-2652b3a37022,"Johnson, Flores and Chandler",company
f9ef594d-35f2-4341-888f-3f06802f6110,Ross and Sons,company
5fa44f7c-b0f6-43ec-a560-6dcb3295349a,Columbia University,university
2ea9c596-6dba-463c-a10f-06769843321a,University of New South Wales,university
1e44815d-6849-4655-8aad-96cb22a5d95a,Greer Inc,company
5c5b0ac4-e4eb-4f8a-945e-2b9e9c6d82d9,"Adams, Koch and Ayala",company
ea85c00f-cef9-4ec8-a56d-2a7e75d01301,Erasmus University Rotterdam,university
caef2d5b-1afd-4c25-899e-169212e4e188,University of British Columbia,university
7edde229-4d2c-4e4d-8d17-31909178eb83,Lin-Robinson,company
ddcdbed6-355d-418d-a3ee-ceb57b1a2fa2,Camacho LLC,company
ae275939-02e4-4b42-a170-465d1e65a540,California Institute of Technology,university
b1b29980-278b-46df-b856-491020f64b40,University of British Columbia,university
707ce487-4003-4380-a014-c7dd963a0d3a,University of Michigan,university
8cbe8d0c-a88d-4a7d-9d6a-12fd8beb007f,Mckenzie-Williams,company
9b78e193-ae52-4a15-a580-9e705cdfd8a4,University of Tokyo,university
a284ab21-7505-4a6f-9d14-d1f418a918c0,University of Oxford,university
a1852817-79d8-4477-bda7-527316dbabff,University of Chicago,university
158c0e1d-7a65-4c83-8e92-094f28132aeb,Watson-Reynolds,company
d68a045a-14a7-42b9-911b-8c920bea0807,"University of California, Los Angeles",university
0a9cf332-443f-4ae1-b7c8-d539edc7ee62,"University of California, San Diego",university
5cde92c3-024d-49ef-b884-ce203ac1e4f8,University of Washington,university
