ID,name,city
8195619e-1783-4b34-a498-ee0276fa6a73,Nature Biotechnology,Port Christianton
058abbc1-1a6b-4f10-8bc9-d89b17dbf602,Big Data and Cognitive Computing,East Jonathantown
886c1b07-2806-4bc5-b5e5-0bb14e9a50b2,Journal of Organizational and End User Computing,Leeborough
12ac5fd6-3c19-4409-b607-3dd6234599c6,Nature Reviews Chemistry,Blankenshipland
65be5e83-c805-4580-ae2e-60bd1786e8dc,Lecture Notes in Computer Science,Meganton
6a0d09ff-7874-4855-b726-0cd175c39fc8,Genome Research,Landrytown
c8dbdf9e-e848-4369-91fc-5d088a2b51b6,IEEE Transactions on Knowledge and Data Engineering,East Cynthiaview
dcd86c3e-99ec-436e-a009-300be7c8dbe8,Genome Biology,East Lindseyborough
8f84a43a-9680-474d-85c8-0989eec239b1,Nature Methods,Crossview
5dad415a-d56a-4793-9b73-495125bd70a1,Journal of Big Data,Port Douglas
f4125af9-00cb-4485-8464-5628f0df4491,Journal of Big Data,Montoyachester
e4354ea1-52d3-4c94-812c-3f75887a5a6e,International Conference on Human Factors in Computing Systems,Patriciashire
7e1695a9-3042-4203-9e16-009266f7bdb9,Irish Journal of Medical Science,Mcbrideside
e7bb28af-0550-4c1a-909e-4fc030266e62,International Conference on Software Engineering,Mcdowellchester
6c5826d7-b127-46d6-8e62-698e572650ac,Chemical Reviews,Lake Carolyn
5631cf7b-3c6a-4525-a76c-f7ed40f05706,Communications of the ACM,Port Lydia
5da5f2a0-692e-4ef8-816f-33be45629aee,International Journal of Data Science and Analysis,Millerborough
7d5b661a-f1a0-471c-9e64-c188036a6da1,IEEE Transactions on Artificial Intelligence,Smithshire
48545b21-9921-4c5f-915c-056ad7f5812d,arXiv.org,West Jakeville
b2a92211-46cb-4941-850c-c6ecae64d490,Mathematics,North Colton
b66d1180-c785-4d34-a1c5-49a4813bbb54,Big Data & Society,North Andrew
71ed8668-77d9-4636-a43f-0b0a4da3d990,IEEE Transactions on Signal Processing,Jamestown
f96031f6-d327-41de-86ab-576d76085660,International Journal of Digital Earth,South Daltonview
6e2ebbd4-a55a-4b61-9497-13cf15c9b833,Journal of Geographical Systems,Lake Megan
516bb46d-d067-4eb8-9640-9aa06fe4e5aa,International Conference on Human Factors in Computing Systems,West Matthew
48876db3-2a6f-40f5-aa7a-853d70f1eed4,arXiv.org,Jacksonstad
2e832d10-c0cf-4570-bb15-c4608e929ee3,Scientific Data,South Dorishaven
f82604be-3dfb-4433-bc44-3109a41debb1,International Journal of Data Science and Analysis,Jamesview
332b29f0-7c4d-4ae0-9360-00de9a327e01,Journal of Statistics and Data Science Education,East Marc
b0a6b3c6-a1fc-4da2-a388-de1c9c97c5a8,Patterns,Melaniestad
7ec20dca-5ef8-4975-b722-53fd4be5ee45,IEEE Transactions on Knowledge and Data Engineering,Port Rodney
1a259fbc-1199-4ef3-a2b0-aac0ad60eaa3,Proceedings of the National Academy of Sciences of the United States of America,Olsenbury
3d3fbe48-7d1f-46f7-b4b3-accd05acb87d,Computer/law journal,Jacobsmouth
5a96743b-9182-4db4-8c3f-141659058ca9,Journal of Epidemiology and Community Health,Reidtown
7c4c8d8f-b4dd-4614-a862-596fef7714cf,Journal of Statistics and Data Science Education,Adamshaven
32555d07-9773-4a54-94e7-41aede3b1ce1,Conference on Innovative Data Systems Research,Conradside
1c562467-251e-4146-b2a7-61900e43ec63,Journal of Statistics and Data Science Education,Marcusstad
3b86f17c-d14f-4b47-8ed1-a4cd3ad6dbe4,Communications of the ACM,Port Sarahberg
f58803bf-1439-4299-9246-6848d40d5526,Philosophical Transactions of the Royal Society of London. Biological Sciences,Brandonport
9421b915-e080-4eb3-bf7c-fab898761905,Engineering,Edwardport
83920f6a-f103-433c-a769-a46fcb76a416,International Conference on Human Factors in Computing Systems,Suttonbury
ec9dd872-22b3-49d6-a039-67b295c90f26,Conference on Innovative Data Systems Research,North James
e27693fa-705a-463b-9537-49e2a7441d4f,Small Business Economics,Gillespieland
b2a5fbc5-ee66-4b47-8cca-71da79b5118a,Ethics and Information Technology,South Alexander
17b3aff3-d6cd-4cbb-bcd7-aad2b2c8fd57,Metabolomics,Joseport
9543d9c7-1e46-4a53-9ee9-982ca97f7d06,Frontiers in Environmental Science,Christopherport
c73034a6-17c5-4512-b9f4-60320f318495,"Annual review of political science (Palo Alto, Calif. Print)",Thompsonfurt
e0372411-a792-4280-be7f-fe45c37092d9,Journal of Library and Information Sciences,Heatherfort
b02cc446-2013-4595-ad85-279d15e2d3e2,Journal of Medical Internet Research,Leeburgh
decb42e3-85b1-4856-8e58-94e50d4bf61d,The Journal of the Learning Sciences,Port Zacharyfurt
f44d4a9e-1149-4173-b588-970805750a06,Genome Biology,Port Pamela
f2cbad55-a704-45f6-b56e-158e81c72b3e,British Journal of Educational Technology,Theresamouth
39282201-a597-4765-9f8f-8a964d02210d,SpringerBriefs in Optimization,Lake Jasonmouth
51c3ba77-9d92-4f02-ab20-ec093cdd7737,Global Sustainability,New Lori
68029bd4-9b65-4401-a97e-5bb7ecae4944,Geographical Analysis,Matthewville
d627c9f3-fb74-403c-b80a-e8f0ac72c5da,Learning Health Systems,Port Christineburgh
82a99737-91bd-4880-acc6-e1fb2b5b1536,Journal of Biosciences,Morrisland
e7f196a2-e76f-4576-a80c-9ecf04ba6fbe,BMC Medicine,Jessicaview
32798336-21a4-4a5f-99fb-b142df900107,CHANCE : New Directions for Statistics and Computing,East Aaronburgh
2184d050-3a8a-46d6-b4ee-c2e30a6364b5,Annual Review of Biomedical Data Science,Port Brandonstad
c566d1f0-d039-417e-a588-892392b575fd,Geographical Analysis,Melissaville
fc747a84-7324-42ef-81d6-717ca57a6258,Technical Symposium on Computer Science Education,Meredithfort
9b598b0c-fd8b-45b9-a13a-1d550cd4f76e,American Statistician,Parkston
6b4ce4be-859a-4640-a814-86f88af5b012,TOP - An Official Journal of the Spanish Society of Statistics and Operations Research,Lake Mariamouth
eaec1294-7d12-4f8d-a552-8e18116a1fb7,Applied Stochastic Models in Business and Industry,Acostafurt
296d8950-d1ff-4508-88d9-d44cb6a6d0ad,Data Technologies and Applications,Rhondaborough
e511d2a5-d280-45f3-8aec-d8604b7c798d,Big Data & Society,South Tony
8a37b125-8923-4cb1-a639-176b8d99b39c,Journal of Library Administration,Christopherbury
599b85d4-17a7-4eed-b806-3c8705c3cd2f,Social Science Research Network,South Stephen
3803fa27-e4ff-46b6-bce6-e1b7df54f221,IEEE Transactions on Knowledge and Data Engineering,Port Kimberly
4bdd20e7-8e42-451f-b3bc-1dd7722895ca,Communications of the ACM,Mitchellport
ac177edf-fe7f-43f4-bf32-0441e01ccce6,Journal of Social Computing,East Mark
