authorName,hIndex
A. Bateman,6
R. Finn,6
Aron Marchler-Bauer,6
A. Torralba,5
Jaina Mistry,5
K. Pruitt,5
S. Rizzi,5
M. Golfarelli,5
Margy Ross,4
R. Kimball,4
Gustavo A. Salazar,4
Matloob Qureshi,4
Thomas L. Madden,4
Dakuo Wang,4
J. R. Brister,4
N. Thanki,4
Lon Phan,4
P. Kitts,3
N. O'Leary,3
Terence D. Murphy,3
Avi Kimchi,3
F. Thibaud-Nissen,3
P. Bork,3
D. Natale,3
S. Bryant,3
S. Lathrop,3
Evan E. Bolton,3
Lewis Y. Geer,3
E. Sayers,3
Valerie A. Schneider,3
J. Beck,3
S. Sherry,3
Kathryn Funk,3
Zhiyong Lu,3
Kathi Canese,3
B. Trawick,3
Renata C. Geer,3
M. Gwadz,3
Noreen R. Gonzales,3
M. K. Derbyshire,3
Gabriele H. Marchler,3
C. Lanczycki,3
F. Chitsaz,3
Shennan Lu,3
David I. Hurwitz,3
Chanjuan Zheng,3
Dachuan Zhang,3
R. Yamashita,3
James S. Song,3
Bolei Zhou,3
L. Deng,3
Christos Sakaridis,3
Dengxin Dai,3
S. Eddy,3
J. Mesirov,3
A. Liberzon,3
H. Thorvaldsdóttir,3
P. Hugenholtz,3
D. Wishart,3
Yifeng Liu,3
Craig Knox,3
Anchi Guo,3
Michael Wilson,3
J. Vizcaíno,3
Yasset Pérez-Riverol,3
Silvio C. E. Tosatto,3
E. Sonnhammer,3
Lorna J. Richardson,3
A. Vaisman,3
E. Zimányi,3
T. Tatusova,3
L. Gool,3
Michael J. Muller,3
Casey Dugan,3
E. Pruesse,3
Joslynn S. Lee,3
M. Landrum,3
A. Oliva,3
Àgata Lapedriza,2
Jianxiong Xiao,2
J. Steiner,2
X. Georgiou,2
M. A. Cooper,2
J. Robinson,2
D. J. Barker,2
Samir Passi,2
Jiyao Wang,2
Li Fei-Fei,2
C. Rudin,2
L. Bottou,2
Jordan A. Fish,2
J. Tiedje,2
Benli Chai,2
Donna M. McGarrell,2
J. Cole,2
Qiong Wang,2
S. Roth,2
Kelly M. McGarvey,2
C. Schoch,2
P. Thomas,2
Goran Ceric,2
J. Chun,2
Seok-Hwan Yoon,2
Dzmitry Bahdanau,2
Kyunghyun Cho,2
Yoshua Bengio,2
G. Micklem,2
J. Sullivan,2
M. Davies,2
A. P. Bento,2
A. Gaulton,2
A. Hersey,2
L. Bellis,2
John P. Overington,2
Jon Chambers,2
W. Klimke,2
Minghong Ward,2
Devon Bourexis,2
A. Kuznetsov,2
J. Ostell,2
Simon Hecker,2
Jianqing Fan,2
Longbing Cao,2
R. Tatusov,2
E. Koonin,2
Alexander C. J. Roth,2
M. Simonovic,2
C. V. Mering,2
L. Jensen,2
Damian Szklarczyk,2
Michael Kuhn,2
V. Stodden,2
Donald C. Comeau,2
Sunghwan Kim,2
Vijay Vasudevan,2
Fu Lu,2
J. Jackson,2
O. Kohany,2
T. Landauer,2
N. Beerenwinkel,2
Iqbal H. Sarker,2
G. Miller,2
Kara K. Tsang,2
Arjun N. Sharma,2
Brian P. Alcock,2
Andrew C. Pawlowski,2
A. McArthur,2
F. Brinkman,2
A. Raphenya,2
Cathrine F. Seidelin,2
Eurie L. Hong,2
J. Cherry,2
K. Dolinski,2
R. Balakrishnan,2
Harriet Alexander,2
A. Tripathi,2
Jose A Navas-Molina,2
Kyle C. Weber,2
K. Kang,2
R. Ley,2
C. Huttenhower,2
Luke R. Thompson,2
Samuel L. Peoples,2
I. Koester,2
L. McIver,2
Kevin P. Murphy,2
A. El-Bastawissy,2
Bob Becker,2
Joy Mundy,2
Warren Thornthwaite,2
Cheng Wu,2
Shiji Song,2
Xuran Pan,2
Gao Huang,2
Yulin Wang,2
L. Van Gool,2
Sean Kross,2
J. Leek,2
P. Coggill,2
R. Y. Eberhardt,2
Simon C. Potter,2
A. Mitchell,2
M. Punta,2
J. Tate,2
M. Ghandi,2
P. Tamayo,2
Chet Birger,2
D. Goldberg,2
Eoin L. Brodie,2
T. DeSantis,2
Hsin-Yuan Huang,2
V. Neveu,2
David Arndt,2
R. Mandal,2
A. Scalbert,2
J. Griss,2
A. Brazma,2
S. Hewapathirana,2
A. Csordas,2
D. J. Kundu,2
Gerhard Mayer,2
Jingwen Bai,2
M. Eisenacher,2
Tobias Ternent,2
Mathias Walzer,2
S. Fidler,2
T. Barrett,2
Shriya Raj,2
L. Paladin,2
Lowri Williams,2
S. Chuguransky,2
W. Inmon,2
D. Linstedt,2
D. Maglott,2
M. Schuld,2
M. Schrefl,2
A. Soylu,2
T. Pedersen,2
K. Hose,2
Justin D. Weisz,2
B. Henrissat,2
P. Coutinho,2
V. Lombard,2
Qiang Yang,2
S. Kotsiantis,2
S. Savarese,2
Amir Zamir,2
Iro Armeni,2
J. Álvarez,2
M. Birk,2
L. Coudert,2
J. Hodges,2
B. Drouin,2
Y. Babikov,2
S. Tashkun,2
J. Orphal,2
C. Richard,2
L. Rothman,2
G. Toon,2
I. Gordon,2
R. Gamache,2
P. Bernath,2
V. Boudon,2
A. Campargue,2
A. Jolly,2
S. Massie,2
E. Polovtseva,2
O. Naumenko,2
M. Smith,2
J. Lamouroux,2
V. Devi,2
A. Perrin,2
A. Barbe,2
L. Bizzocchi,2
K. Chance,2
D. Jacquemart,2
A. Nikitin,2
J. Tennyson,2
L. Brown,2
D. Long,2
A. Fayt,2
O. Lyulin,2
E. Cohen,2
C. Mackie,2
S. Mikhailenko,2
H. Müller,2
J. Flaud,2
V. Tyuterev,2
G. Wagner,2
E. Starikova,2
C. T. Brown,2
Benjamin D. Kaehler,2
Matthew R. Dillon,2
P. Torres,2
Stefan Janssen,2
C. Edwardson,2
Massoud Maher,2
R. Sinha,2
J. Bisanz,2
B. Callahan,2
Yunhu Wan,2
M. Langille,2
Z. Xu,2
J. Metcalf,2
E. Alm,2
C. Marotz,2
E. Loftfield,2
Colin J. Brislawn,2
John H. Chase,2
A. Melnik,2
Benjamin M Hillmann,2
J. Caporaso,2
Fernando Vargas,2
Jorden Kreps,2
S. Kelley,2
P. Rosenthal,2
Nicholas A. Bokulich,2
Antonio Gonzalez,2
Jennifer T. Fouquier,2
A. Brejnrod,2
Austin D. Swafford,2
Talima R. Pearson,2
S. Holmes,2
Stephanie B. Orchanian,2
E. Vogtmann,2
D. Gibson,2
C. Duvallet,2
M. Estaki,2
D. Durall,2
R. Knight,2
Yilong Zhang,2
D. Knights,2
Mingxun Wang,2
Kestrel Gorlick,2
J. Rideout,2
Sabah Ul-Hasan,2
Ahmad Turan Naimey,2
K. Bittinger,2
Emily K. Cope,2
Manimozhiyan Arumugam,2
A. Rivers,2
Jiarong Guo,2
G. Douglas,2
Jesse R. Zaneveld,2
A. Shiffer,2
Gabriel A. Al-Ghalith,2
Y. Vázquez-Baeza,2
T. Kosciólek,2
Madeleine Ernst,2
N. Segata,2
G. Huttley,2
Yang Bai,2
S. C. Morgan,2
Michael Shaffer,2
Christopher R. Keefe,2
J. Spear,2
Louis-Félix Nothias,2
H. Holste,2
James T. Morton,2
C. Abnet,2
Lingjing Jiang,2
P. Keim,2
F. Asnicar,2
Se Jin Song,2
D. Petráš,2
Lasse Buur Rasmussen,2
Pauline Trinh,2
Jonathan Warren,2
P. Dorrestein,2
William Walters,2
A. Jarmusch,2
Yong-xin Liu,2
A. Caraballo-Rodríguez,2
A. Willis,2
Daniel McDonald,2
J. Gauglitz,2
P. Turnbaugh,2
Bryan D. Martin,2
M. Preuss,2
Evan Bolyen,2
C. Lozupone,2
A. Marcu,2
Carin Li,2
J. Grant,2
Nazanin Assempour,2
Zinat Sayeeda,2
Y. D. Feunang,2
Tanvir Sajed,2
Allison Pon,2
Daniel Johnson,2
Elvis J. Lo,2
I. Goodfellow,2
Martin G. Seneviratne,2
S. Rangwala,2
W. Hlavina,2
D. Haft,2
P. Tonellato,1
P. Sternberg,1
J. Hirschman,1
M. Costanzo,1
S. Dwight,1
C. Theesfeld,1
S. Y. Rhee,1
T. Berardini,1
R. Nash,1
A. Sethuraman,1
D. Botstein,1
K. Christie,1
S. Engel,1
T. Seigfried,1
B. Feierbach,1
K. Eilbeck,1
R. Kishore,1
P. Gaudet,1
D. Fisk,1
C. Mungall,1
W. Kibbe,1
S. Lewis,1
M. Ashburner,1
P. Jaiswal,1
J. Richter,1
E. Schwarz,1
R. Foulger,1
R. White,1
N. Delacruz,1
S. Mundodi,1
B. Marshall,1
U. California,1
Department of Mathematical Sciences,1
W. Freeman,1
Bryan C. Russell,1
Bradley Voytek,1
Thomas Donoghue,1
Shannon E. Ellis,1
Ralph Kimball,1
Neveen Elgamal,1
G. Galal-Edeen,1
Yann LeCun,1
Corinna Cortes,1
Lidia Contreras-Ochando,1
N. Lachiche,1
José Hernández Orallo,1
Fernando Martínez-Plumed,1
Meelis Kull,1
P. Flach,1
M. J. R. Quintana,1
C. Ferri,1
Yohannes Kurniawan,1
Erwin Ardianto Halim,1
Evans Rs,1
Pierce La,1
Lloyd Jf,1
Chen-Pin Wang,1
Mary Jo Pugh,1
Helen P. Hazuda,1
A. E. Lancaster,1
P. H. Noël,1
Mary J. Bollinger,1
Laurel A. Copeland,1
Ruth A. Perrin,1
Mohammad Rifaie,1
R. Alhajj,1
M. Ridley,1
K. Kianmehr,1
Hongming Zhou,1
Rui Zhang,1
Xiaojian Ding,1
G. Huang,1
A. L. Pinto,1
Helen Beatriz Frota Rozados,1
Alexandre Ribas Semeler,1
Hong Zhang,1
Jin Deng,1
Dan Zhang,1
R. Peng,1
Ira Gooding,1
B. Caffo,1
Zhedong Zheng,1
Yi Yang,1
Ajit Singh,1
A. Sangrador-Vegas,1
Jitendra Malik,1
David R. Martin,1
D. Tal,1
Charless C. Fowlkes,1
Beixin Lin,1
Zu-Hsu Lee,1
Yu Hong,1
S. Drucker,1
N. Chen,1
P. Simard,1
