Publication,papersInCommunity,totalPapers,Type
Journal of biomedical informatics,2,2,['Journal']
Geographical Analysis,2,2,['Journal']
,1,1,['Journal']
Sn Computer Science,1,1,['Journal']
Image Vis. Comput.,1,1,['Journal']
ArXiv,3,3,['Journal']
J. Mach. Learn. Res.,3,3,['Journal']
American Medical Informatics Association Annual Symposium,1,1,['Conference']
Comput. J.,1,1,['Journal']
J. Organ. End User Comput.,1,1,['Journal']
International Journal of Intelligent Systems,1,1,['Journal']
International Journal of Data Science and Analytics,2,2,['Journal']
PLoS ONE,4,4,['Journal']
Annual Review of Political Science,1,1,['Journal']
International journal of neural systems,1,1,['Journal']
International Conference on Data Warehousing and Knowledge Discovery,1,1,['Conference']
Genome Biology,3,3,['Journal']
Proceedings of the 2017 ACM SIGSAC Conference on Computer and Communications Security,1,1,['Journal']
Journal of Medical Systems,1,1,['Journal']
Journal of Applied Science and Technology Trends,1,1,['Journal']
Annual Meeting of the Association for Computational Linguistics,1,1,['Conference']
Mobile DNA,1,1,['Journal']
IEEE Signal Processing Magazine,2,2,['Journal']
European Conference on Computer Vision,5,5,['Conference']
IEEE Transactions on Knowledge and Data Engineering,4,4,['Journal']
Entropy,1,1,['Journal']
Nature Machine Intelligence,4,4,['Journal']
IEEE Transactions on Signal Processing,1,1,['Journal']
International Journal of Digital Earth,1,1,['Journal']
Nature Communications,1,1,['Journal']
Conference on Empirical Methods in Natural Language Processing,4,4,['Conference']
Italian National Conference on Sensors,3,3,['Conference']
IFIP Working Conference on Database Semantics,1,1,['Conference']
Electronic Markets,1,1,['Journal']
Proceedings of the National Academy of Sciences of the United States of America,4,4,['Journal']
Proceedings of the National Academy of Sciences,4,4,['Journal']
CHANCE,1,1,['Journal']
Computer Vision and Pattern Recognition,12,12,['Conference']
ArXiv,1,1,['Journal']
Mammalian Genome,1,1,['Journal']
Applied and Environmental Microbiology,1,1,['Journal']
Nucleic acids research,2,2,['Journal']
Journal of Cheminformatics,2,2,['Journal']
Communications of the ACM,3,3,['Journal']
Ethics and Information Technology,1,1,['Journal']
ACM Computing Surveys (CSUR),2,2,['Journal']
ACM Computing Surveys,2,2,['Journal']
British Machine Vision Conference,2,2,['Conference']
Radioengineering,1,1,['Journal']
Knowledge Discovery and Data Mining,1,1,['Conference']
Data Intelligence,1,1,['Journal']
International Conference on Computational Statistics,1,1,['Conference']
International Conference on Signal Processing Systems,1,1,['Conference']
Journal of molecular biology,1,1,['Journal']
Br. J. Educ. Technol.,1,1,['Journal']
International Summit on eHealth,1,1,['Conference']
Neural Information Processing Systems,6,6,['Conference']
International Conference on Data Technologies and Applications,1,1,['Conference']
Int. J. Bus. Inf. Syst.,1,1,['Journal']
Electronics,1,1,['Journal']
International Conference on Learning Representations,2,2,['Conference']
Network and Distributed System Security Symposium,1,1,['Conference']
ACM Asia Conference on Computer and Communications Security,1,1,['Conference']
ACM Transactions on Intelligent Systems and Technology (TIST),1,1,['Journal']
International Computer Science Conference,1,1,['Conference']
Chemical Reviews,1,1,['Journal']
Journal of Statistics and Data Science Education,3,3,['Journal']
IEEE Symposium on Security and Privacy,2,2,['Conference']
IEEE Transactions on Pattern Analysis and Machine Intelligence,3,3,['Journal']
European Conference on Software Architecture,1,1,['Conference']
Patterns,1,1,['Journal']
IEEE International Enterprise Distributed Object Computing Conference,1,1,['Conference']
International Conference on Information and Knowledge Management,1,1,['Conference']
Nature Methods,2,2,['Journal']
Journal of Big Data,2,2,['Journal']
Nature,2,2,['Journal']
Vision,1,1,['Conference']
