paper_id,cited_paper_id,title_x,cited_paper_title
e068be31ded63600aea068eacd12931efd2a1029,49a319006746654a00089df4598cf7cc33c41bb6,CLIP the Bias: How Useful is Balancing Data in Multimodal Learning?,
e068be31ded63600aea068eacd12931efd2a1029,7278f843cb2527bf4f3eff0383e33712e31e3079,Curriculum Learning-Based Fuzzy Support Vector Machine,
e068be31ded63600aea068eacd12931efd2a1029,508942c28df36fbf05b1ade3fd112932b737e5f2,Boosting-Based Sequential Meta-Tree Ensemble Construction for Improved Decision Trees,
e068be31ded63600aea068eacd12931efd2a1029,bcbed7450f27bdfb68ee5e3186f7d9c67b2490ca,Robust Feature Selection Using Multigranulation Variable-Precision Distinguishing Indicators for Fuzzy Covering Decision Systems,
e068be31ded63600aea068eacd12931efd2a1029,14fceee617384fd852cb2d54fae439545cd04a80,Incremental Affinity Propagation based on Cluster Consolidation and Stratification,
e068be31ded63600aea068eacd12931efd2a1029,dcb2b470ac90758e526752551a7d30165bbfd798,Keeping Deep Learning Models in Check: A History-Based Approach to Mitigate Overfitting,
e068be31ded63600aea068eacd12931efd2a1029,83745d5104c733e537e383d5ea6d992cdac60056,"Habitat status of the Smooth-coated Otter (Lutrogale perspicillata) in Geruwa-Khaurahi River, Bardia National Park, Nepal",
e068be31ded63600aea068eacd12931efd2a1029,edfe16ab653db522531729ed705442da4a6883e9,Chain-Based Outlier Detection for Complex Data Scenarios,
e068be31ded63600aea068eacd12931efd2a1029,2d9a20a106c6fe8900244457b22c4a2087cc2394,Deep Neural Decision Forests for Accurate ESD Prediction: A Novel Approach,
e068be31ded63600aea068eacd12931efd2a1029,7d0d35722b9a2bc9b85b1b6e468a25835a3cc3b6,Adversarial Learning for Feature Shift Detection and Correction,
e068be31ded63600aea068eacd12931efd2a1029,c3616b0adcf6bace7caa833c5121bfbe32f55d9c,A Novel Robust Kernelized FCM Based Multi-Objective Simultaneous Learning Framework for Clustering and Classification,
e068be31ded63600aea068eacd12931efd2a1029,d89ee5afab182816bd1ab10c22a469fe662feb91,A Novel Feature Extraction Approach for the Clustering and Classification of Genome Sequences,
e068be31ded63600aea068eacd12931efd2a1029,513f68d905678d794ef1a187d26dfbb0a5e08ffd,Weight Binary Fish School Search Algorithm for Feature Selection,
e068be31ded63600aea068eacd12931efd2a1029,069e54335aa671d5ff0c0843571d57dd4e59eeb9,Automatic Distance-Based Interpolating Unit Detection and Pruning in Self-Organizing Maps,
e068be31ded63600aea068eacd12931efd2a1029,4c8ac4cbf4a209d1ee4fe004e9a8216ed3d223eb,Privacy-Preserving Publishing of Individual-Level Medical Data for Cloud Services,
e068be31ded63600aea068eacd12931efd2a1029,656bde2d3190abb7a787069672b4ce67cafdde15,Information Modified K-Nearest Neighbor,
e068be31ded63600aea068eacd12931efd2a1029,34b6d5679008fc4d48e7c5410596b5865807f1f0,A Quantum-Inspired Direct Learning Strategy for Positive and Unlabeled Data,
e068be31ded63600aea068eacd12931efd2a1029,9471108a8eb7cfef356369a5b2212d1d18abd5d7,Rule extraction based on PROMETHEE-assisted multi-objective genetic algorithm for generating interpretable neural networks,
e068be31ded63600aea068eacd12931efd2a1029,b7f57aa216b9ec2e4bfcd47b6d3809886052ce0e,Proposal of a Visualization System for a Hierarchical Clustering Algorithm: The Visualize Proximity Matrix,
e068be31ded63600aea068eacd12931efd2a1029,fcb167504bd04bb3fc29b02ed41d0d255cf25fb1,The Influence of the Drastic T-norm on Two Fuzzy- Rough Rule Induction Algorithms,
e068be31ded63600aea068eacd12931efd2a1029,ea1c3a107846f1e6c72b3c15cbf90ee1eea3d4b6,CICMoD - A Climate Index Collection Benchmark (Data and Resources Paper),
e068be31ded63600aea068eacd12931efd2a1029,9f8fb14373d1daf45b0a83016e7db41c292b53e8,Privacy-preserving Federated Primal-dual Learning for Non-convex and Non-smooth Problems with Model Sparsification,
e068be31ded63600aea068eacd12931efd2a1029,5d1b0dc671e924a5cf6b7ff72825b87fffc8dddb,An Improved AdaBoost Method in Imbalanced Data Learning,
e068be31ded63600aea068eacd12931efd2a1029,6863db6a1d3187556c6084899f8388656511073a,Mitigating Simplicity Bias in Deep Learning for Improved OOD Generalization and Robustness,
e068be31ded63600aea068eacd12931efd2a1029,af1420644243e73da80a2e31a89a70417a1f30fd,Sparse Deep Learning for Time Series Data: Theory and Applications,
e068be31ded63600aea068eacd12931efd2a1029,7839cfb182aa6cfd4dbc0589ee73cf446895b926,Stationarity without mean reversion: Improper Gaussian process regression and improper kernels,
e068be31ded63600aea068eacd12931efd2a1029,52bd0ed62a152d1055fbcff5a69b7599a8140972,Fuzzy Rough Sets-Based Incremental Feature Selection for Hierarchical Classification,
e068be31ded63600aea068eacd12931efd2a1029,b793f9a31eb13ea7df3d3979e6b327980ec34c59,A Neighborhood Covering Classifier Based on Optimal Granularity of Fuzzy Quotient Space,
e068be31ded63600aea068eacd12931efd2a1029,7a7a5187cbab67b005475e97efc90a9672ca3cda,Collecting Meta-Data from the OpenML Public Repository,
e068be31ded63600aea068eacd12931efd2a1029,c81904b51d51209d56d028cadbfa73ec6ea0673b,Adaptive graph regularized non-negative matrix factorization with self-weighted learning for data clustering,
e068be31ded63600aea068eacd12931efd2a1029,0707bbebaaa74b8667c832a1478c26812bc8515d,A Robust and Energy Efficient Hyperdimensional Computing System for Voltage-scaled Circuits,
e068be31ded63600aea068eacd12931efd2a1029,6058983f307a4a9e5f46c79bbef457127581c264,An incremental approach to hierarchical feature selection by applying fuzzy rough set technique,
e068be31ded63600aea068eacd12931efd2a1029,fdba5cc6d687df86d0bbed368b9523266b98a04b,Application of uncertainty quantification to artificial intelligence in healthcare: A review of last decade (2013-2023),
e068be31ded63600aea068eacd12931efd2a1029,1e4370a2398ef9f5601de56d37ec89eaf0b284b2,A Semi-Supervised Stacked Autoencoder Using the Pseudo Label for Classification Tasks,
e068be31ded63600aea068eacd12931efd2a1029,a66042cad14f5470b1654531bfb0a3b64619c3f8,Online Learning for Dynamic Impending Collision Prediction using FMCW Radar,
e068be31ded63600aea068eacd12931efd2a1029,4d8c586ec6eafa8fd7db316369a285cf3efaffbb,"AI in Thyroid Cancer Diagnosis: Techniques, Trends, and Future Directions",
e068be31ded63600aea068eacd12931efd2a1029,12baf1d4271a2ae952fc7d6f4d0e8ff2b24d0f14,Entropy-Based Fuzzy C-Ordered-Means Clustering Algorithm,
e068be31ded63600aea068eacd12931efd2a1029,8ff08af2ffd99f2b32a4758b85e57e69e0cb3ebe,Fusion Ensemble Modeling Method Using Bayesian Inference and Binary Tree Algorithm,
e068be31ded63600aea068eacd12931efd2a1029,151942b084ece11084dec2970598fd5d495e1bbc,Deterministic to Probabilistic Time Series Forecasting by Recurrent Neural Network with Variational Residual Boosting,
e068be31ded63600aea068eacd12931efd2a1029,d3741ebfe500da26a8a08b8f4c9325ab26015202,Two Phases of Scaling Laws for Nearest Neighbor Classifiers,
e068be31ded63600aea068eacd12931efd2a1029,bb3c91e3e2a016889713be8d0b240f00fc908d33,A practical three-stage hybrid feature selection method using discrete state transition algorithm,
e068be31ded63600aea068eacd12931efd2a1029,fa644706ed329aeb14a119c90802ac860a82a66a,Quantifying Outlierness of Funds from their Categories using Supervised Similarity,
e068be31ded63600aea068eacd12931efd2a1029,56ddf0024eb149db528a0fb4fcec9736cfaba712,Interpretable Machine Learning for Discovery: Statistical Challenges \& Opportunities,
e068be31ded63600aea068eacd12931efd2a1029,4f909977c4baa0c80c4525c3471a9ede594b218f,Nested Binary Classifier as an Outlier Detection Method in Human Activity Recognition Systems,
e068be31ded63600aea068eacd12931efd2a1029,b37bb4328eb9d8a8c171b3883136166a86a2be65,An analysis of choice functions for Fuzzy ART using grammatical evolution,
e068be31ded63600aea068eacd12931efd2a1029,8d8318c59824792349548fcbd2cac885bdc58994,Takagi–Sugeno Fuzzy Regression Trees With Application to Complex Industrial Modeling,
e068be31ded63600aea068eacd12931efd2a1029,6834cf5038f4310488db30a3f146f75bd75a1fdd,A Fully Interpretable First-Order TSK Fuzzy System and Its Training With Negative Entropic and Rule-Stability-Based Regularization,
e068be31ded63600aea068eacd12931efd2a1029,dc2dfb5a0b4345a4dda051797f57817c255547f3,Towards Robust Fingerprinting of Relational Databases by Mitigating Correlation Attacks,
e068be31ded63600aea068eacd12931efd2a1029,6ec49a73b1ae9f73ff01fa4a9ffc13d6c0173ea5,Detection of Cardiovascular Disease from Clinical Parameters Using a One-Dimensional Convolutional Neural Network,
e068be31ded63600aea068eacd12931efd2a1029,75b7dd9a55464f01eb7b3e3133e08755173e8695,Robust Density-Based Data Clustering Using a Quantum-Inspired Genetic Algorithm,
e068be31ded63600aea068eacd12931efd2a1029,100abe32337a9ffbd629a9aa81bc600d5e8ed169,Information Bottleneck Revisited: Posterior Probability Perspective with Optimal Transport,
e068be31ded63600aea068eacd12931efd2a1029,7d546236b302c9208cf655f84736bdbe6ce2779a,Support vector regression model with variant tolerance,
e068be31ded63600aea068eacd12931efd2a1029,8ec5ff07c7ae39c8802b6bab23da8db6a54489c8,Pruning of Dendritic Neuron Model with Significance Constraints for Classification,
e068be31ded63600aea068eacd12931efd2a1029,4183b823a0a28e15b6ca5703d46b7a9922987aa2,Power efficient VLSI architecture based logistic regression for classification of breast cancer,
e068be31ded63600aea068eacd12931efd2a1029,a3ae142e1b514d20a6cfcf09440725c73e164893,Human activity recognition using fuzzy proximal support vector machine for multicategory classification,
e068be31ded63600aea068eacd12931efd2a1029,37cde1837a9278019d40d268a200570bf2a69452,Improved Environmental Stimulus and Biological Competition Tactics Interactive Artificial Ecological Optimization Algorithm for Clustering,
e068be31ded63600aea068eacd12931efd2a1029,8ae66d2d1d666598d8013eba246c4514382793fa,GBG++: A Fast and Stable Granular Ball Generation Method for Classification,
e068be31ded63600aea068eacd12931efd2a1029,d4b2137a38c7b50bd81acf53dcd30f7173ed9996,Data Minimization at Inference Time,
e068be31ded63600aea068eacd12931efd2a1029,79b957ceee7e05426cb479b6bba0b95de1ed9c9c,Rectifying Group Irregularities in Explanations for Distribution Shift,
e068be31ded63600aea068eacd12931efd2a1029,e62f2cf3176bb138f0a5f2c05c58063e50af26d6,ARULESPY: Exploring Association Rules and Frequent Itemsets in Python,
e068be31ded63600aea068eacd12931efd2a1029,2d802d328310075e255ef10c6f248b7d8c110a2c,Neuroevolution for the Sustainable Evolution of Neural Networks,
e068be31ded63600aea068eacd12931efd2a1029,1caeefa8ca599d9303cef3878a3e5da2d243b77f,TSGM: A Flexible Framework for Generative Modeling of Synthetic Time Series,
e068be31ded63600aea068eacd12931efd2a1029,7142ed330d4c36193a9b49f3693f47464739575a,On the Fairness Impacts of Private Ensembles Models,
e068be31ded63600aea068eacd12931efd2a1029,85985a466d8083aac1ba988f51be3c11626d28c6,Automatic learning algorithm selection for classification via convolutional neural networks,
e068be31ded63600aea068eacd12931efd2a1029,7fd5a97cf9f7045926c5bba04241a6e7c4cb9ab7,A climate index collection based on model data,
e068be31ded63600aea068eacd12931efd2a1029,7a90902892e8877fbf878a790b77eb50fbe9dc5d,Dense & Attention Convolutional Neural Networks for Toe Walking Recognition,
e068be31ded63600aea068eacd12931efd2a1029,af4c26e2ad71b76ebb17282c290b95848324c014,Fast LDP-MST: An Efficient Density-Peak-Based Clustering Method for Large-Size Datasets,
e068be31ded63600aea068eacd12931efd2a1029,1ad992430e3b9c0ad598045dda993513b3eecc70,An Intelligent Diagnosis of Liver Diseases using Different Decision Tree Models,
