publicationId,publicationType,name,venue,year,issn,url,volume,JournalEditor
458166b3-de17-4bf3-bbbb-e53782de2f0f,journal,Nature Biotechnology,Nature Biotechnology,2019,1087-0156,http://www.nature.com/nbt/,37,Sherry Collins
759663ae-c1b4-41ef-9231-384ab473d4b4,journal,J. Organ. End User Comput.,Journal of Organizational and End User Computing,2022,1546-2234,http://www.idea-group.com/journals,34,Keith Clark
2f5d0e8a-faad-4f10-b323-2b2e3c439a78,journal,"Shanlax International Journal of Arts, Science and Humanities",Lecture Notes in Computer Science,2022,0302-9743,http://www.springer.com/lncs,1,Phillip Sawyer
0a96e67f-c1f1-491d-ab41-4c2c50b523a2,journal,Genome Research,Genome Research,2022,1088-9051,http://www.pubmedcentral.nih.gov/tocrender.fcgi?journal=102,32,Gregory Brown
c6840156-ee10-4d78-8832-7f8909811576,journal,IEEE Transactions on Knowledge and Data Engineering,IEEE Transactions on Knowledge and Data Engineering,2021,1041-4347,https://www.computer.org/web/tkde,33,Stephanie Perkins
41dbb273-8d18-4a45-8154-852882a37b34,journal,Genome Biology,Genome Biology,2020,1474-7596,http://genomebiology.com/,21,Kelly Marshall
099483df-e8f2-4bee-805d-8a69f07b6cbf,journal,Nature Methods,Nature Methods,2019,1548-7091,http://www.nature.com/,16,Wendy Dudley
d60da343-ab92-4310-b3d7-2c0860287a9d,journal,Journal of Big Data,Journal of Big Data,2020,2196-1115,http://www.journalofbigdata.com/,7,Patricia Gutierrez
d60da343-ab92-4310-b3d7-2c0860287a9d,journal,Journal of Big Data,Journal of Big Data,2021,2196-1115,http://www.journalofbigdata.com/,8,Robert Perez
b3a217d4-f456-4394-9e5b-b39ab19d1b3e,journal,Irish Journal of Medical Science,Irish Journal of Medical Science,2021,0021-1265,https://www.springer.com/medicine/internal/journal/11845,191,Robert Rivers
f458795b-af97-4b7c-ba4e-d57bbb57f90a,journal,Chemical Reviews,Chemical Reviews,2020,0009-2665,https://pubs.acs.org/journal/chreay,120,Richard Roberts
4d9ce1c4-dc84-46b9-903e-e3751c00c7dd,journal,Communications of the ACM,Communications of the ACM,2021,0001-0782,http://www.acm.org/pubs/cacm/,65,Amy Hayes
c3875580-2cce-4a95-a094-fff60bb381b9,journal,International Journal of Data Science and Analytics,International Journal of Data Science and Analysis,2021,2575-1883,http://www.sciencepublishinggroup.com/journal/index?journalid=367,11,Tara Sullivan
3c27e831-750f-45bc-9914-2148a5259eba,journal,IEEE Transactions on Artificial Intelligence,IEEE Transactions on Artificial Intelligence,2020,2691-4581,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=9078688,1,Carol Golden
4d899b46-b5c8-436e-8ce3-084673ea8905,journal,Big Data & Society,Big Data & Society,2020,2053-9517,http://bds.sagepub.com/,7,Jason Griffith
1f6f3f05-6a23-42f0-8d31-98ab8089c1f2,journal,IEEE Transactions on Signal Processing,IEEE Transactions on Signal Processing,2020,1053-587X,http://ieeexplore.ieee.org/servlet/opac?punumber=78,69,Katherine Duncan
79af09a2-54e8-4f97-8edf-9fba208ab744,journal,International Journal of Digital Earth,International Journal of Digital Earth,2020,1753-8947,http://www.informaworld.com/smpp/title~content=1753-8947,13,Robert Jackson
7fac555d-41ef-410c-9c84-ed584a9cff7f,journal,Journal of Geographical Systems,Journal of Geographical Systems,2020,1026-7050,https://www.springer.com/economics/regional+science/journal/10109,23,Jamie Yates
62924b2a-8fb8-4b93-92c6-735516b49af0,journal,Scientific Data,Scientific Data,2020,2052-4463,http://www.nature.com/sdata/,8,Dr. Michelle Steele DVM
c3875580-2cce-4a95-a094-fff60bb381b9,journal,International Journal of Data Science and Analytics,International Journal of Data Science and Analysis,2020,2575-1883,http://www.sciencepublishinggroup.com/journal/index?journalid=367,12,Wanda Evans
961301b0-6f5a-44a6-9216-54b673cded78,journal,Journal of Statistics and Data Science Education,Journal of Statistics and Data Science Education,2020,2693-9169,https://www.tandfonline.com/toc/ujse21/current,29,John Richardson
17bac89e-3dba-467a-b9d4-71e3baefb08b,journal,Patterns,Patterns,2020,2666-3899,https://www.cell.com/patterns,1,Christina Carrillo
c6840156-ee10-4d78-8832-7f8909811576,journal,IEEE Transactions on Knowledge and Data Engineering,IEEE Transactions on Knowledge and Data Engineering,2020,1041-4347,https://www.computer.org/web/tkde,34,Michael Alexander
bb95bf2e-8383-4748-bf9d-d6906d091085,journal,Proceedings of the National Academy of Sciences of the United States of America,Proceedings of the National Academy of Sciences of the United States of America,2019,0027-8424,https://www.jstor.org/journal/procnatiacadscie,117,Erika Romero
aa746a02-d187-42c2-bdf9-df6a5d4e648c,journal,Comput. J.,Computer/law journal,2019,0164-8756,https://repository.jmls.edu/jitpl/all_issues.html,62,Edwin Brown
