OrganizationID,affiliation_name,affiliationType
30676dc7-9414-47ae-b562-f106169d5869,"Mccormick, Fletcher and Hancock",company
7a57f413-911d-446b-b08f-b1257ceecc37,Johnson PLC,company
823a0253-35da-467d-a523-6c7f47985e6d,University of Southampton,university
3fffdb26-a226-400c-a0fb-1ea02b6a74bc,Princeton University,university
f637d4f8-1e37-41fb-a7ae-e11355a30086,University of British Columbia,university
e0f981b8-65b9-4028-a149-66e3e03c36a9,Diaz and Sons,company
92f196f6-9a1e-4b12-80b0-fbd4de089fde,"Henry, Barnes and Taylor",company
661ddd12-3065-4e3b-9b9c-e6460b30a84e,University of East Anglia,university
07dc15e3-3108-4e03-b0c3-80004a787058,Patrick-Richards,company
a7370611-cb55-4c0e-b0da-963b26e05f84,Smith Inc,company
f59fe37c-0037-4170-83ea-0b5727fd174e,Mcknight and Sons,company
0e357d28-8bc0-41e4-a9be-fa40ce07a862,University of Copenhagen,university
87d9a851-f004-4c91-ab01-85959adc2899,Garcia Inc,company
70b7b0dc-1aee-486f-a53c-2f8d7efbb131,London School of Economics and Political Science,university
06aded47-a126-4d59-87db-b181fb641e1b,University of East Anglia,university
53abacc9-8a7a-4fc4-ac54-eeb9ad8424a9,University of Western Australia,university
b4c380cb-e340-407e-b2c3-d29326b95c03,"Mercer, Reed and Holmes",company
6caf3f18-866e-4d9e-bf58-efe77d495910,Princeton University,university
efdeb772-dd3a-4f69-813f-236d69051f2e,University of Surrey,university
c27e97b9-329f-4a21-8997-b9d4360333fa,Yale University,university
f18e0671-2fef-4aa3-8fc3-2924d04fcf26,Middleton-Silva,company
0e960a5f-390c-4977-b1a0-b194d7a9dfd3,Payne-Moyer,company
da3091e2-581b-4a6c-b4a9-c9f90122d360,Conner-Vincent,company
6027fc01-c63f-47f6-bed1-ac7983501bb7,Carrillo-Hall,company
b3100740-b16c-47ab-8055-4f2bda4ecb89,University of Alberta,university
f2b4a22f-cd66-4283-b6fe-10c709928cb2,University of Auckland,university
70760853-22a8-40b2-84fc-73c992617eae,Mccullough-Spears,company
a46d41f9-bcc7-4444-b34d-d63a726d2983,Jones Inc,company
a57f4420-3ccb-4203-b3e7-65ac58e41a4d,Universitat Libre De Brussels,university
93e78460-301f-46f4-9e96-2daedf874080,Peterson-Martinez,company
57a3dfb6-399e-4f9e-bd1f-cf91e3d42952,University of Copenhagen,university
a5c22359-004f-454b-b7ea-53214dcfe358,Chase PLC,company
aa3db64d-8e60-4c8d-9c20-7ddc3542531e,Hansen and Sons,company
bc34733a-10a5-42b5-972c-b4b5cc9b7e1d,Davidson-Ford,company
1d442bd4-839e-4a28-bdbe-d2025d48df59,Diaz-Swanson,company
7b93b162-c7d9-4eb9-9dd7-f186e200d5a0,Fritz-Li,company
e3f1165b-2886-478c-96ca-013f674805a9,"Yates, Edwards and Wiggins",company
02b53f89-fb5b-48ab-a2b2-0861b8298250,Queen Mary University of London,university
a54ef1a4-08da-4b0d-a0c5-124b661e2a9e,Stevenson Ltd,company
a7690e2f-93e1-4ab5-82fe-6caa182d5914,Wilson PLC,company
59bbb1e2-daf1-40a7-a27a-9387c23771e7,Moore-Meyers,company
43168f2b-cbcb-41a7-9ae2-ea5c84ea906e,University of Texas at Austin,university
4021542c-5c18-4892-8481-567dc47ee85b,Peking University,university
2900ac40-7170-4e5e-97eb-82822c90b9f9,"Shah, Jacobson and Burton",company
a46788c7-3f0d-4a47-a129-a5cd2d5112de,Johns Hopkins University,university
59104c63-c79e-4a79-b2a5-45755451af4f,"Prince, Newton and Kim",company
5a90275e-6843-4360-ad6f-c767baa55526,Stanford University,university
b7dc0a15-9d10-4580-8681-31013171de02,University of Wisconsin-Madison,university
531e978f-1e9a-4f3e-bd4c-9076d1cb3801,"Brown, Faulkner and Lopez",company
7d711eee-b963-4605-b63a-af903b8b07b2,University of Sheffield,university
7a6f0953-ae92-46e5-b5e0-c797a61b47a5,Williams Group,company
875c9d99-8af9-4048-b4e0-13b0973d6093,University of Wisconsin-Madison,university
0b435b9f-d599-44ec-b239-8e856a1fd125,University of Tokyo,university
fcebc538-7a25-47e6-a00e-ff274b5244f5,Sullivan LLC,company
55946908-b086-4586-b8a6-ee5dd9588fbe,Welch-Olson,company
430e3a15-808b-48ec-8420-2ed9b274a105,Purdue University,university
67f2d776-550e-4284-b9c1-e82f02bed770,Tate-Ramos,company
af6f216d-8666-4a45-ac20-50d8cb05e8aa,"West, Vasquez and Nguyen",company
c9cee748-2a24-4fc8-b8fb-ef0d6b754bcd,"Castillo, Patterson and Hernandez",company
2e9d1547-5cfb-4ea9-a27a-aafa139d3e93,Hayes Ltd,company
99ae2984-c65e-499f-9bb4-f3d49e714e24,"Blair, Andersen and Hicks",company
d876a447-1829-4ef8-bd25-aedde71216d8,Technical University of Munich,university
d261c307-8b2d-48ae-93b7-965b28c12fc4,Queen Mary University of London,university
14049eaf-097f-4a2d-b98f-83ee94c295db,ETH Zurich,university
72687ced-737e-4627-a4ae-bf8167f02463,Perez Group,company
4991e116-9c80-4c47-9f2f-a4adeb876096,Lucas PLC,company
b81f255d-f10b-488d-ab63-6911a765b4aa,"Young, Graves and Russo",company
70f8b09a-4755-40b5-9e07-25e30ce1164f,Peking University,university
068f5351-7b85-47fb-b48a-bb03feca5537,Berry PLC,company
45916ef2-ba09-4182-a649-82e6b4be9b01,University of Kent,university
42cb4766-997e-4a7b-bd25-d586985088f7,White Ltd,company
ebddc42d-1674-498c-b757-9e6d6af7dcb0,Thomas-Olson,company
c2784680-e3f7-4cc2-b7b3-383a0003a62f,University of Western Australia,university
0a0db5f2-ac98-4c5a-83b4-fd1c876e5be3,University of Auckland,university
0c0da352-5a47-4092-9cd0-43c673257524,Rogers Inc,company
f1886c61-2cf3-4651-87a1-424f48f14812,Esparza LLC,company
e4bf8b18-560c-47a2-b0a9-b05f55aaa114,University of East Anglia,university
