ID,name,city
cd8cd2fb-0173-4335-b111-554edccc176e,International Conference on Human Factors in Computing Systems,West Michaelfort
514532c4-ec32-4462-beab-8fcd6eeb0236,International Conference on Software Engineering,South Cindymouth
ee533de0-14f6-466b-91d6-8b13982b8a9e,Conference on Innovative Data Systems Research,Kaylamouth
54947df6-315d-4696-bca9-72e7b4e496a4,Technical Symposium on Computer Science Education,North Jonathan
d6e93e02-8079-4ed3-b57f-2499db1d19a5,International Symposium on Intelligent Data Analysis,New Michael
91e148a0-123b-4e01-8df9-605d485ee0f5,International Conference on Enterprise Information Systems,Dixonchester
c702c1d9-3add-4cda-867c-b6a1dd02c916,IEEE Region 10 Conference,Port Cassandraview
1c40ec57-59ff-4539-b666-947b3c6f12eb,International Conference on Computational Collective Intelligence,Kathyland
fff9b072-010a-49f8-a49c-704a24ce734f,IEEE International Enterprise Distributed Object Computing Conference,Hallbury
a1d2dfe5-345d-4207-bfed-b39f8242ba6b,International Conference on Extending Database Technology,Port Deniseton
4e5d64ee-8569-46c3-9888-29c2e4a1a684,IEEE International Conference on Data Engineering,Wilsonland
5bd75c1f-75f7-47c5-8318-200fa3048c54,"International Conference on Teaching, Assessment, and Learning for Engineering",Jeremyborough
805d41a6-c6b4-41d4-8b00-5bb7c43fc8c6,American Medical Informatics Association Annual Symposium,Nguyenchester
4e8b1ab4-c1bf-4758-8ed0-c138da9bb96a,USENIX Workshop on Hot Topics in Storage and File Systems,East Christinefurt
5e8a71a9-aa4a-45e8-93de-b8f4324003e3,International Conference on Data Warehousing and Knowledge Discovery,Ericafurt
855068c8-4c6b-4ffa-8dab-c5e97dd59980,Decision Support Systems,West Patrickfurt
a6eeab54-27c7-429d-adc5-06d1b2234158,International Workshop on Data Warehousing and OLAP,West William
faf70824-ba94-4460-bff4-0e50c25e3977,International Database Engineering and Applications Symposium,East Johnmouth
9b33e565-0680-4e3a-b41a-dbd418e4b8b1,International Conference on Signal Processing Systems,East Samantha
318f6008-7d37-4602-8e08-37edead8db0a,World Summit on the Knowledge Society,New Norman
b3f0a00d-8ad1-4888-bddb-22f0bb075004,ACM Symposium on Applied Computing,Joseberg
824341c6-1422-4610-92f0-6fa85668fa2b,Neural Information Processing Systems,Floydfurt
7f493dd6-a624-4fcf-995c-984a4c4f3d74,IEEE Symposium on Security and Privacy,Kelliechester
38780c87-d94b-43ab-a9b9-0002dff7be2c,ACM Asia Conference on Computer and Communications Security,Port Derekbury
16aef823-fe06-40e9-aad7-3c2adcccdb44,Conference on Empirical Methods in Natural Language Processing,Johnsonmouth
babb0298-abd1-4fb5-8909-b615a84c455c,International Conference on Learning Representations,New William
39c40ad3-0aab-4758-a956-70327e906c91,International Conference on Computational Statistics,Morganstad
46c46952-3efc-4797-9cf9-2b6579a41521,European Conference on Computer Vision,East Kimberlystad
c0832851-803f-4889-bc1b-a6016c1ddc37,Security and Artificial Intelligence,Port Misty
ccee81ac-b5e6-4d39-b916-00fc7383b1d2,Italian National Conference on Sensors,South John
30cac27c-79b7-4a2a-a9e1-358cc27f2fc4,UK Workshop on Computational Intelligence,North Paul
1bf4d3dd-b745-4922-b396-474e62669b86,International Conference on Machine Learning,East Angela
506c2ac4-54cd-4488-8da4-c688d58c81a3,Computer Vision and Pattern Recognition,East Cherylland
ea359c63-4daf-47c8-875e-bbf3ed754d83,Knowledge Discovery and Data Mining,Willisburgh
574aeb67-ff9e-4307-bb84-a50eb1a3e1cf,Extended Semantic Web Conference,Hardinberg
16c08cfc-b4b4-4921-b24f-888d3fae1bab,International Conference on Intelligent User Interfaces,Marcusview
d8d00d09-222c-41e6-beaf-f8f146715c72,International Computer Science Conference,Port Stephanie
947130ab-4408-4cff-8211-fe660e6279f1,European Symposium on Programming,Lake Jimmy
640465d2-dc10-4d95-b8b9-ef5d732ef9d1,International Summit on eHealth,Michaelchester
13956145-b49c-4114-9cd8-34e1abee3998,IOTA Programming System,Dunlapton
80f81210-59b7-4c36-824e-0a41a3e440d0,Computer-Aided Architectural Design Futures,West Scottport
