authorName,hIndex
R. Finn,6
A. Bateman,6
Jaina Mistry,5
M. Golfarelli,5
S. Rizzi,5
Dakuo Wang,4
Margy Ross,4
K. Pruitt,4
Matloob Qureshi,4
Gustavo A. Salazar,4
L. Deng,3
Casey Dugan,3
R. Kimball,3
J. Vizcaíno,3
Yasset Pérez-Riverol,3
T. Tatusova,3
E. Sonnhammer,3
Silvio C. E. Tosatto,3
Lorna J. Richardson,3
Christos Sakaridis,3
Dengxin Dai,3
Avi Kimchi,3
M. Landrum,3
N. O'Leary,3
F. Thibaud-Nissen,3
Terence D. Murphy,3
J. R. Brister,3
P. Kitts,3
I. Goodfellow,3
S. Sherry,3
Lon Phan,3
Craig Knox,3
Michael Wilson,3
Anchi Guo,3
Yifeng Liu,3
D. Wishart,3
E. Zimányi,3
A. Vaisman,3
E. Pruesse,3
Joslynn S. Lee,3
L. Gool,3
S. Eddy,3
A. Torralba,3
Qiang Yang,3
H. Thorvaldsdóttir,3
J. Mesirov,3
A. Liberzon,3
Vijay Vasudevan,3
Aron Marchler-Bauer,3
D. Natale,3
P. Bork,3
Thomas L. Madden,3
Kathryn Funk,3
B. Trawick,3
Evan E. Bolton,3
Valerie A. Schneider,3
Zhiyong Lu,3
Kathi Canese,3
E. Sayers,3
S. Lathrop,3
J. Beck,3
Samuel L. Peoples,2
A. Tripathi,2
I. Koester,2
Harriet Alexander,2
Kyle C. Weber,2
Jose A Navas-Molina,2
C. Huttenhower,2
K. Kang,2
Luke R. Thompson,2
R. Ley,2
L. McIver,2
Iqbal H. Sarker,2
Justin D. Weisz,2
Samir Passi,2
Sean Kross,2
Kyunghyun Cho,2
Dzmitry Bahdanau,2
Yoshua Bengio,2
Amir Zamir,2
Iro Armeni,2
S. Savarese,2
Tobias Ternent,2
Mathias Walzer,2
Jingwen Bai,2
M. Eisenacher,2
S. Hewapathirana,2
J. Griss,2
D. J. Kundu,2
A. Brazma,2
A. Csordas,2
Gerhard Mayer,2
D. Maglott,2
A. Soylu,2
Shriya Raj,2
S. Chuguransky,2
Lowri Williams,2
L. Paladin,2
F. Brinkman,2
Brian P. Alcock,2
A. Raphenya,2
Kara K. Tsang,2
Andrew C. Pawlowski,2
Arjun N. Sharma,2
A. McArthur,2
L. Van Gool,2
J. Álvarez,2
S. Rangwala,2
C. Schoch,2
W. Hlavina,2
Kelly M. McGarvey,2
D. Haft,2
Goran Ceric,2
O. Lyulin,2
E. Starikova,2
D. Jacquemart,2
H. Müller,2
V. Tyuterev,2
S. Massie,2
E. Cohen,2
J. Hodges,2
G. Wagner,2
I. Gordon,2
A. Jolly,2
J. Tennyson,2
D. Long,2
V. Devi,2
A. Fayt,2
M. Smith,2
J. Lamouroux,2
K. Chance,2
B. Drouin,2
A. Campargue,2
V. Boudon,2
O. Naumenko,2
S. Tashkun,2
C. Mackie,2
Y. Babikov,2
L. Bizzocchi,2
L. Rothman,2
P. Bernath,2
M. Birk,2
E. Polovtseva,2
A. Nikitin,2
L. Brown,2
C. Richard,2
S. Mikhailenko,2
R. Gamache,2
A. Barbe,2
A. Perrin,2
J. Flaud,2
J. Orphal,2
L. Coudert,2
G. Toon,2
A. Gaulton,2
M. Davies,2
John P. Overington,2
A. P. Bento,2
A. Hersey,2
Jon Chambers,2
L. Bellis,2
T. Landauer,2
Minghong Ward,2
G. Miller,2
David Arndt,2
A. Scalbert,2
R. Mandal,2
V. Neveu,2
J. Bisanz,2
Lingjing Jiang,2
Bryan D. Martin,2
Yilong Zhang,2
Evan Bolyen,2
Kestrel Gorlick,2
M. Langille,2
J. Spear,2
E. Loftfield,2
A. Caraballo-Rodríguez,2
Yang Bai,2
Stefan Janssen,2
Benjamin D. Kaehler,2
S. C. Morgan,2
Emily K. Cope,2
Talima R. Pearson,2
Stephanie B. Orchanian,2
D. Petráš,2
D. Durall,2
H. Holste,2
D. Gibson,2
Fernando Vargas,2
Gabriel A. Al-Ghalith,2
Y. Vázquez-Baeza,2
Massoud Maher,2
A. Melnik,2
C. Edwardson,2
S. Kelley,2
Jesse R. Zaneveld,2
Benjamin M Hillmann,2
Se Jin Song,2
P. Torres,2
N. Segata,2
R. Sinha,2
Antonio Gonzalez,2
Jiarong Guo,2
Matthew R. Dillon,2
Mingxun Wang,2
T. Kosciólek,2
M. Estaki,2
A. Brejnrod,2
Nicholas A. Bokulich,2
Ahmad Turan Naimey,2
Christopher R. Keefe,2
E. Vogtmann,2
Madeleine Ernst,2
B. Callahan,2
C. Abnet,2
Louis-Félix Nothias,2
William Walters,2
John H. Chase,2
