Publication,papersInCommunity,totalPapers,Type
European Journal of Clinical Microbiology & Infectious Diseases,1,1,['Journal']
Cell systems,1,1,['Journal']
Applied and Environmental Microbiology,1,1,['Journal']
Proceedings of the National Academy of Sciences of the United States of America,4,4,['Journal']
Proceedings of the National Academy of Sciences,4,4,['Journal']
CHANCE,1,1,['Journal']
BMC Bioinformatics,2,2,['Journal']
Nucleic Acids Research,2,2,['Journal']
Chemical Reviews,1,1,['Journal']
ACM Asia Conference on Computer and Communications Security,1,1,['Conference']
Genome Biology,3,3,['Journal']
American Medical Informatics Association Annual Symposium,1,1,['Conference']
Neural Information Processing Systems,6,6,['Conference']
IEEE Transactions on Software Engineering,1,1,['Journal']
Journal of Statistics and Data Science Education,3,3,['Journal']
Journal of chemical information and modeling,1,1,['Journal']
J. Soc. Comput.,1,1,['Journal']
Scientific Data,2,2,['Journal']
Big Data & Society,2,2,['Journal']
ArXiv,1,1,['Journal']
Journal of Big Data,2,2,['Journal']
Int. J. Semantic Web Inf. Syst.,1,1,['Journal']
International Conference on Enterprise Information Systems,1,1,['Conference']
international journal of engineering technology and management sciences,1,1,['Journal']
Conference on Empirical Methods in Natural Language Processing,4,4,['Conference']
International Conference on Learning Representations,2,2,['Conference']
Conference on Innovative Data Systems Research,2,2,['Conference']
IEEE Transactions on Affective Computing,1,1,['Journal']
International Computer Science Conference,1,1,['Conference']
International Conference on Software Engineering,1,1,['Conference']
International Conference on Human Factors in Computing Systems,3,3,['Conference']
IEEE Symposium on Security and Privacy,2,2,['Conference']
International Conference on 3D Vision,1,1,['Conference']
Journal of the American Medical Informatics Association : JAMIA,1,1,['Journal']
The International Journal of Advanced Manufacturing Technology,1,1,['Journal']
Journal of biomedical informatics,2,2,['Journal']
International Conference on Information and Knowledge Management,1,1,['Conference']
IEEE Transactions on Pattern Analysis and Machine Intelligence,3,3,['Journal']
,1,1,['Journal']
Nature Reviews Drug Discovery,1,1,['Journal']
IEEE Transactions on Knowledge and Data Engineering,4,4,['Journal']
Computer Vision and Pattern Recognition,12,12,['Conference']
Sn Computer Science,1,1,['Journal']
Annual Review of Political Science,1,1,['Journal']
IEEE Region 10 Conference,1,1,['Conference']
IEEE Transactions on Services Computing,1,1,['Journal']
IEEE International Conference on Robotics and Automation,1,1,['Conference']
ACM Symposium on Applied Computing,1,1,['Conference']
IEEE Transactions on Artificial Intelligence,1,1,['Journal']
Radioengineering,1,1,['Journal']
EuroMed Journal of Business,1,1,['Journal']
European Conference on Computer Vision,5,5,['Conference']
J. Comput.,1,1,['Journal']
Nature Methods,2,2,['Journal']
Geographical Analysis,2,2,['Journal']
IEEE International Conference on Data Engineering,3,3,['Conference']
PLoS ONE,4,4,['Journal']
Image Vis. Comput.,1,1,['Journal']
IEEE Access,1,1,['Journal']
International Symposium on Intelligent Data Analysis,1,1,['Conference']
Ind. Manag. Data Syst.,1,1,['Journal']
BMC Medicine,1,1,['Journal']
IEEE Engineering in Medicine and Biology Magazine,1,1,['Journal']
International Journal of Production Research,2,2,['Journal']
Philosophical Transactions of the Royal Society B: Biological Sciences,1,1,['Journal']
Int. J. Bus. Inf. Syst.,1,1,['Journal']
Proceedings of the 2017 ACM SIGSAC Conference on Computer and Communications Security,1,1,['Journal']
Asian Conference on Computer Vision,1,1,['Conference']
Nucleic acids research,2,2,['Journal']
Security and Artificial Intelligence,1,1,['Conference']
Technical Symposium on Computer Science Education,1,1,['Conference']
Journal of Geographical Systems,1,1,['Journal']
IEEE Signal Processing Magazine,2,2,['Journal']
International Conference on Database Systems for Advanced Applications,1,1,['Conference']
Uncertainty Reasoning for the Semantic Web,1,1,['Conference']
Nature Computational Science,1,1,['Journal']
Nature,2,2,['Journal']
International journal of systematic and evolutionary microbiology,2,2,['Journal']
