TopPapers,citations
A Data Science Framework for Movement,33
Outbreak analytics: a developing data science for informing the response to emerging pathogens,32
Health Care and Precision Medicine Research: Analysis of a Scalable Data Science Platform,29
AutoDS: Towards Human-Centered Automation of Data Science,28
Data science ethical considerations: a systematic literature review and proposed project framework,28
Fairness in Machine Learning: A Survey,28
Design and application of Internet of things-based warehouse management system for smart logistics,28
Semantic Foggy Scene Understanding with Synthetic Data,28
Toward collaborative open data science in metabolomics using Jupyter Notebooks and cloud computing,27
Semantic Data Integration for Knowledge Graph Construction at Query Time,26
Hive - a petabyte scale data warehouse using Hadoop,26
Big Data and data science: A critical review of issues for educational research,25
Neural Machine Translation by Jointly Learning to Align and Translate,25
Data science: a game changer for science and innovation,25
Data Shapley: Equitable Valuation of Data for Machine Learning,25
Machine Learning for High-Speed Corner Detection,25
HMDB: A large video database for human motion recognition,24
Semantic Autoencoder for Zero-Shot Learning,24
Explainable AI: A Review of Machine Learning Interpretability Methods,24
Evaluation of semantic data storages for integrating heterogenous disciplines in automation systems engineering,24
ZINC - A Free Database of Commercially Available Compounds for Virtual Screening,24
The impact of the MIT-BIH Arrhythmia Database,24
Data Management for Data Science - Towards Embedded Analytics,24
What is responsible and sustainable data science?,24
Learning Deep Features for Scene Recognition using Places Database,24
Data Warehouses Federation as a Single Data Warehouse,24
Discovering Semantic Data of Interest from Un-mappable Memory with Confidence,24
Machine learning for alloys,24
Unsupervised Domain Adaptation for Semantic Segmentation via Class-Balanced Self-training,23
Data Recombination for Neural Semantic Parsing,23
Data Warehouse Testing,23
Enabling Semantic Search Based on Conceptual Graphs over Encrypted Outsourced Data,23
Domain Generalization via Model-Agnostic Learning of Semantic Features,23
Practical Black-Box Attacks against Machine Learning,23
Protein backbone angle restraints from searching a database for chemical shift and sequence homology,23
CRISP-DM Twenty Years Later: From Data Mining Processes to Data Science Trajectories,23
Introducing EzBioCloud: a taxonomically united database of 16S rRNA gene sequences and whole-genome assemblies,23
"Machine Learning Testing: Survey, Landscapes and Horizons",23
Making data science systems work,23
Automating data science,22
"Practitioners Teaching Data Science in Industry and Academia: Expectations, Workflows, and Challenges",22
Sherlock: A Deep Learning Approach to Semantic Data Type Detection,22
Data Science Support at the Academic Library,21
"Automated Machine Learning - Methods, Systems, Challenges",21
A survey of loss functions for semantic segmentation,21
Algorithmic Government: Automating Public Services and Supporting Civil Servants in using Data Science Technologies,21
SCOP: a structural classification of proteins database for the investigation of sequences and structures.,21
Constrained Language Models Yield Few-Shot Semantic Parsers,21
Multimodal Machine Learning: A Survey and Taxonomy,21
From hype to reality: data science enabling personalized medicine,21
Materialised view construction in data warehouse for decision making,21
Machine learning pipeline for battery state-of-health estimation,21
Semi-Supervised Semantic Segmentation with Cross Pseudo Supervision,21
A Fuzzy Data Warehouse Approach for Web Analytics,20
"Avogadro: an advanced semantic chemical editor, visualization, and analysis platform",20
Semantic Graph Convolutional Networks for 3D Human Pose Regression,20
A Survey on Data Pricing: From Economics to Data Science,20
Glossary for public health surveillance in the age of data science,20
Learning Semantic Segmentation From Synthetic Data: A Geometrically Guided Input-Output Adaptation Approach,20
The MNIST Database of Handwritten Digit Images for Machine Learning Research [Best of the Web],20
The MNIST Database of Handwritten Digit Images for Machine Learning Research [Best of the Web],20
The Deep Data Warehouse: Link-Based Integration and Enrichment of Warehouse Data and Unstructured Content,20
Self-Ensembling With GAN-Based Data Augmentation for Domain Adaptation in Semantic Segmentation,20
A Simple Baseline for Semi-supervised Semantic Segmentation with Strong Data Augmentation*,19
Power of data in quantum machine learning,19
"Greengenes, a Chimera-Checked 16S rRNA Gene Database and Workbench Compatible with ARB",19
Fast-SCNN: Fast Semantic Segmentation Network,19
"Data Science in 2020: Computing, Curricula, and Challenges for the Next 10 Years",19
Data science for entrepreneurship research: studying demand dynamics for entrepreneurial skills in the Netherlands,19
Effective Heart Disease Prediction Using Hybrid Machine Learning Techniques,19
Regularizing Deep Networks With Semantic Data Augmentation,19
MouseMine: a new data warehouse for MGI,19
Towards an Architecture for Managing Big Semantic Data in Real-Time,19
Rich feature hierarchies for accurate object detection and semantic segmentation,18
Thumbs up? Sentiment Classification using Machine Learning Techniques,18
ilastik: interactive machine learning for (bio)image analysis,18
Adversarial machine learning,18
Knowledge Reasoning with Semantic Data for Real-Time Data Processing in Smart Factory,18
SoilGrids250m: Global gridded soil information based on machine learning,18
Argonaute—a database for gene regulation by mammalian microRNAs,18
Genomics and data science: an application within an umbrella,18
Modern Software Engineering Methodologies Meet Data Warehouse Design: 4WD,18
Scikit-learn: Machine Learning in Python,18
Fixed Point Strategies in Data Science,18
The use of the area under the ROC curve in the evaluation of machine learning algorithms,17
Semi-Supervised Semantic Segmentation With Cross-Consistency Training,17
Large-Scale Machine Learning with Stochastic Gradient Descent,17
VHA Corporate Data Warehouse height and weight data: opportunities and challenges for health services research.,17
Data science approach to stock prices forecasting in Indonesia during Covid-19 using Long Short-Term Memory (LSTM),17
Machine Learning Interpretability: A Survey on Methods and Metrics,17
Rectifying Pseudo Label Learning via Uncertainty Estimation for Domain Adaptive Semantic Segmentation,17
Machine learning and the physical sciences,17
The Cityscapes Dataset for Semantic Urban Scene Understanding,17
PepeSearch: Semantic Data for the Masses,17
Machine Learning in Agriculture: A Review,17
Challenges and opportunities in quantum machine learning,17
WordNet: A Lexical Database for English,16
The Cambridge Structural Database: a quarter of a million crystal structures and rising.,16
LabelMe: A Database and Web-Based Tool for Image Annotation,16
An Introduction to Machine Learning,16
